ID_ENCUESTA,ID_VEHICULO,ID_TIPOVEHICULO,ID_COMBUSTIBLE,MUNICIPIO_MATRICULA,PERTENECE_VEHICULO,PERSONA_DUENOVEHICULO,EXENTO_PICOYPLACA,RAZON_EXENTO,DONDE_GUARDAVEHICULO,VALOR_PARQUEO
18391806,1,1,1,BOGOTA. 11001,1,1,2,-1,1,-1
18391806,2,4,1,BOGOTA. 11001,1,4,1,12,1,-1
18391807,1,6,2,BOGOTA,1,1,1,10,4,170000
18391808,1,4,1,BOGOTA,1,3,1,12,1,-1
18393161,1,4,1,11001,1,2,2,-1,2,0
18393162,1,1,1,11001,1,1,2,-1,2,54000
18393163,1,1,5,IBAGUE,1,2,2,-1,2,54000
18393163,2,4,1,IBAGUE,1,3,2,-1,2,30000
18393182,1,1,1,11001,1,1,2,-1,1,-1
18394486,1,7,3,BOGOTA,1,1,1,12,1,-1
18395221,1,1,1,MEDELLIN,1,1,2,-1,4,0
18395251,1,1,1,BOGOTA,1,1,2,-1,1,-1
18468122,1,1,5,BOGOTA,1,1,2,-1,1,-1
18473730,1,1,1,11001,1,1,2,-1,1,-1
18473973,1,1,1,11001,4,-1,2,-1,1,-1
18473973,2,4,1,11001,1,1,1,12,1,-1
18475186,1,4,1,BOGOTA,1,1,1,12,1,-1
18475193,1,1,1,BOGOTA,1,1,2,-1,2,70000
18475429,1,1,1,BOGOTA,1,1,2,-1,3,100000
18475430,1,3,1,BOGOTA,1,2,2,-1,3,35000
18475430,2,4,1,BOGOTA,1,3,2,-1,1,-1
18475482,1,1,1,BOGOTA,2,-1,2,-1,1,-1
18475642,1,1,1,473,1,1,2,-1,4,120000
18475644,1,1,1,11001,1,1,2,-1,3,80000
18475644,2,4,1,PASTO,1,2,2,-1,3,20000
18475843,1,6,2,SOACHA,1,1,1,12,4,90000
18475974,1,1,1,BOGOTA,1,1,2,-1,1,-1
18476062,1,1,5,BOGOTA,4,-1,2,-1,1,-1
