ID_ENCUESTA;ID_VEHICULO;CANTIDAD;FACTOR_EXP_CAL
18609862;4;1;1239.65870307167
22297743;13;1;662.348180549837
22292277;1;1;3406.36207139916
19981318;1;1;148.015582355548
21706995;1;1;453.47389689109
22740517;1;1;188.404704463209
22740517;13;2;188.404704463209
22260227;4;1;666.070120599967
22695333;13;2;144.560023310023
22811175;1;1;175.719123581174
19495651;11;1;17.5782558016319
19495651;13;1;17.5782558016319
22774749;1;1;263.578685371762
18610056;1;2;897.343169628371
18610056;11;1;897.343169628371
18610056;13;2;897.343169628371
22945500;1;1;32.0619391824526
19085055;1;1;716.240651965484
18610057;11;2;448.671584814186
23019495;13;1;439.297808952936
19181816;1;1;356.392214909013
18637913;2;1;522.92400739105
18637913;4;1;522.92400739105
19202324;11;2;1834.19496152263
19268534;4;1;457.45918787291
19142868;4;1;2335.06379585327
19656226;11;3;15.0670764013987
19656226;13;1;15.0670764013987
22081500;13;1;3253.85970380175
22082011;1;1;916.437124051747
22082011;4;1;916.437124051747
22082963;13;1;916.437124051747
22115696;1;1;3581.20325982742
20250687;9;3;12.2114225838452
19315596;11;1;205.85663454281
19315596;13;1;205.85663454281
22830046;4;1;19.0386655948553
18679291;4;1;1104.42236261953
22150471;1;1;1127.52066115702
22296828;13;3;2270.90804759944
23198184;11;1;112.216787138584
23019496;13;2;219.648904476468
19913019;4;1;81.638860103627
22186789;1;1;375.840220385675
22186789;13;1;375.840220385675
23187983;13;1;29.9203338391502
22893719;13;2;52.3605842185129
23198485;4;1;62.8015681544029
23198485;13;1;62.8015681544029
19731547;11;2;20.7694533762058
19731547;13;2;20.7694533762058
23190218;4;1;1469.49948186528
21674130;1;1;453.47389689109
23124627;1;1;1004.96208150471
19562119;1;1;107.659831121834
19562119;9;3;107.659831121834
23248688;13;1;66.9974721003141
19808947;9;3;177.618698826658
19656227;1;1;17.5782558016319
20056790;1;1;26.4589971425216
19839622;1;1;66.9974721003141
19839622;13;1;66.9974721003141
19561236;1;1;99.4588014090164
19452392;1;1;35.8866103739445
19196182;1;1;2452.70850622407
20269204;1;1;88.809349413329
21674588;13;1;2040.63253600991
20665389;13;1;252.980040792541
20754828;1;1;202.384032634033
20754828;13;2;202.384032634033
18610877;13;1;117.42265978752
19107096;13;2;430.396551724138
19481859;4;1;186.485252641906
19513834;11;1;72.4812871633438
19513834;13;1;72.4812871633438
19272459;1;1;242.184275932717
19272459;13;1;242.184275932717
19643033;13;2;76.1546623794212
19156614;13;1;2089.59107806691
19892276;1;1;135.168556600903
19892276;4;1;135.168556600903
20374167;4;1;143.56601164353
22695335;1;1;144.560023310023
19115025;4;1;177.379579872985
19774396;1;1;1167.53189792663
19483042;9;1;351.031063796528
18637914;1;1;1045.8480147821
19270735;4;1;418.692005085495
19083155;13;1;84.3414634146341
19299732;13;1;521.432063016023
19267919;4;1;374.284790077836
22962708;4;1;104.964248704663
22964183;11;1;146.949948186529
22973456;13;1;734.749740932643
22729496;1;1;44.0983285708694
22729496;13;1;44.0983285708694
20759009;13;1;337.306721056721
22729498;13;1;264.589971425216
19271685;13;1;4117.1326908562
19524884;4;1;125.603136308806
19088687;2;1;59.1265266243283
19088687;6;1;59.1265266243283
20654173;13;1;202.384032634033
20923640;1;1;505.960081585082
20923640;13;2;505.960081585082
19271530;13;1;866.764777022357
23198385;1;1;236.285768573057
19267917;4;1;457.45918787291
19807403;1;1;14.9622382851446
19272464;4;1;216.691194255589
22774750;4;1;87.8595617905872
19268517;4;1;633.405029362492
19661648;5;1;14.3543543543544
19731546;1;1;20.7694533762058
19731546;13;2;20.7694533762058
19292850;3;1;196.053937659819
19216240;1;1;567.72701189986
19216240;13;3;567.72701189986
19272936;4;1;650.073582766767
19272936;13;2;650.073582766767
20841937;1;1;202.384032634033
20841937;13;1;202.384032634033
20100977;1;1;49.8741276171486
19501462;1;1;36.2406435816719
19501462;4;1;36.2406435816719
19501462;13;1;36.2406435816719
20654174;4;2;101.192016317016
19272026;13;1;2744.75512723746
19896080;1;1;125.620260188089
19981312;4;2;88.809349413329
19493620;8;1;81.5414480587618
20665387;1;1;202.384032634033
20665387;11;1;202.384032634033
20665387;13;1;202.384032634033
21880239;1;1;71.7327586206897
21880239;13;1;71.7327586206897
18612783;13;1;117.42265978752
19173006;1;2;6252.76018099547
19315599;1;1;205.85663454281
19315599;11;1;205.85663454281
19315599;13;1;205.85663454281
19297329;4;1;216.691194255589
19268775;11;2;586.237215523474
19272502;13;2;196.053937659819
19981313;13;4;88.809349413329
22186796;1;1;563.760330578512
22229382;1;2;215.198275862069
22229382;13;4;215.198275862069
19563985;4;1;72.4812871633438
22296827;13;3;1451.63500986765
